,cep,cidade,uf,cep_5_digitos
471,31340520,Belo Horizonte,MG,31340
472,37945972,São José da Barra,MG,37945
473,36092060,Juiz de Fora,MG,36092
474,92426000,Canoas,RS,92426
475,60841032,Fortaleza,CE,60841
476,05664030,São Paulo,SP,05664
477,08030180,São Paulo,SP,08030
478,89504602,Caçador,SC,89504
479,83513282,Almirante Tamandaré,PR,83513
480,75263980,Caraíba,GO,75263
481,82710990,Curitiba,PR,82710
482,71715510,Brasília,DF,71715
483,39470970,Itacarambi,MG,39470
484,88803270,Criciúma,SC,88803
485,27360000,Barra Mansa,RJ,27360
486,88139408,Palhoça,SC,88139
487,96888975,Herveiras,RS,96888
488,27923510,Macaé,RJ,27923
489,98390970,Erval Seco,RS,98390
490,26413160,Japeri,RJ,26413
491,13571807,São Carlos,SP,13571
492,13337422,Indaiatuba,SP,13337
493,04701200,São Paulo,SP,04701
494,18684480,Lençóis Paulista,SP,18684
495,29157901,Cariacica,ES,29157
496,31550074,Belo Horizonte,MG,31550
497,26415040,Japeri,RJ,26415
498,69101010,Itacoatiara,AM,69101
499,95365970,São Jorge,RS,95365
500,35183001,Timóteo,MG,35183
501,76120000,Aurilândia,GO,76120
502,96745970,Charqueadas,RS,96745
503,98280970,Panambi,RS,98280
504,40484004,Salvador,BA,40484
505,23535054,Rio de Janeiro,RJ,23535
506,14164175,Sertãozinho,SP,14164
507,78254970,Conquista D'Oeste,MT,78254
508,29092060,Vitória,ES,29092
509,26296525,Nova Iguaçu,RJ,26296
510,68901140,Macapá,AP,68901
511,85912140,Toledo,PR,85912
512,78553695,Sinop,MT,78553
513,69901815,Rio Branco,AC,69901
514,15845970,Marapoama,SP,15845
515,39812972,Ponto do Marambaia,MG,39812
516,71680395,Brasília,DF,71680
517,45695970,Arataca,BA,45695
518,25015301,Duque de Caxias,RJ,25015
519,99665971,Cruzaltense,RS,99665
520,26196030,Belford Roxo,RJ,26196
521,46990970,Souto Soares,BA,46990
522,19360970,Santo Anastácio,SP,19360
523,05462050,São Paulo,SP,05462
524,59131515,Natal,RN,59131
525,96201010,Rio Grande,RS,96201
526,89289640,São Bento do Sul,SC,89289
527,60180761,Fortaleza,CE,60180
528,89765970,Paial,SC,89765
529,29302811,Cachoeiro de Itapemirim,ES,29302
530,83065210,São José dos Pinhais,PR,83065
531,35931068,João Monlevade,MG,35931
532,87565971,Cafezal do Sul,PR,87565
533,12508018,Guaratinguetá,SP,12508
534,95174200,Farroupilha,RS,95174
535,94820060,Alvorada,RS,94820
536,59090000,Natal,RN,59090
537,68660970,São Miguel do Guamá,PA,68660
538,86186260,Cambé,PR,86186
539,14835970,Motuca,SP,14835
540,58920971,Triunfo,PB,58920
541,63608974,Ibicuã,CE,63608
542,79604224,Três Lagoas,MS,79604
543,60761971,Fortaleza,CE,60761
544,17507393,Marília,SP,17507
545,41218145,Salvador,BA,41218
546,94015260,Gravataí,RS,94015
547,44067374,Feira de Santana,BA,44067
548,19804829,Assis,SP,19804
549,05442050,São Paulo,SP,05442
550,05335040,São Paulo,SP,05335
551,57050000,Maceió,AL,57050
552,83390959,Guaraqueçaba,PR,83390
553,28945680,São Pedro da Aldeia,RJ,28945
554,37928990,São Roque de Minas,MG,37928
555,71090005,Brasília,DF,71090
556,60545233,Fortaleza,CE,60545
557,36091000,Juiz de Fora,MG,36091
558,66013100,Belém,PA,66013
559,46960970,Lençóis,BA,46960
560,28360970,Bom Jesus do Itabapoana,RJ,28360
561,13276040,Valinhos,SP,13276
562,06509040,Santana de Parnaíba,SP,06509
563,13174555,Sumaré,SP,13174
564,39140970,Alvorada de Minas,MG,39140
565,33805523,Ribeirão das Neves,MG,33805
566,40735030,Salvador,BA,40735
567,76811292,Porto Velho,RO,76811
568,25045415,Duque de Caxias,RJ,25045
569,32606514,Betim,MG,32606
570,14896027,Jaboticabal,SP,14896
571,38740200,Patrocínio,MG,38740
572,69911422,Rio Branco,AC,69911
573,76980174,Vilhena,RO,76980
574,99952974,Santa Cecília do Sul,RS,99952
575,14810256,Araraquara,SP,14810
576,25040330,Duque de Caxias,RJ,25040
577,23575911,Rio de Janeiro,RJ,23575
578,38402900,Uberlândia,MG,38402
579,38017100,Uberaba,MG,38017
580,94380970,Glorinha,RS,94380
581,11510310,Cubatão,SP,11510
582,09629030,São Bernardo do Campo,SP,09629
583,06420130,Barueri,SP,06420
584,08072130,São Paulo,SP,08072
585,23934580,Angra dos Reis,RJ,23934
586,09132032,Santo André,SP,09132
587,35502464,Divinópolis,MG,35502
588,05035900,São Paulo,SP,05035
589,87120970,Floresta,PR,87120
590,12043000,Taubaté,SP,12043
591,93056000,São Leopoldo,RS,93056
592,75251796,Senador Canedo,GO,75251
593,99320971,Ibirapuitã,RS,99320
594,75154980,Sousânia,GO,75154
595,68378187,Altamira,PA,68378
596,99051164,Passo Fundo,RS,99051
597,94460400,Viamão,RS,94460
598,60442105,Fortaleza,CE,60442
599,69914324,Rio Branco,AC,69914
600,88360970,Guabiruba,SC,88360
601,76821204,Porto Velho,RO,76821
