,cep_5_digitos,cidade,uf,lat,lon
226,59360,Parelhas,RN,-6.7108694,-36.63082985065095
227,79825,Dourados,MS,-22.2206145,-54.812208
228,86030,Londrina,PR,-23.3112878,-51.1595023
229,19250,Sandovalina,SP,-22.4560782,-51.7634004
230,73368,Brasília,DF,-15.7934036,-47.8823172
231,59110,Natal,RN,-5.805398,-35.2080905
232,09637,São Bernardo do Campo,SP,-23.7080345,-46.5506747
233,13904,Amparo,SP,-22.70111,-46.76444
234,38433,Uberlândia,MG,-18.9188041,-48.2767837
235,64595,Curral Novo do Piauí,PI,-7.8316503,-40.9006904
236,15845,Marapoama,SP,-21.2574769,-49.1314719
237,27535,Resende,RJ,-22.4683626,-44.4463494
238,89148,Vitor Meireles,SC,-26.878152,-49.832787
239,34700,Sabará,MG,-19.8900372,-43.8107916
240,74583,Goiânia,GO,-16.680882,-49.2532691
241,02340,São Paulo,SP,-23.5506507,-46.6333824
242,27258,Volta Redonda,RJ,-22.5225497,-44.1040128
243,09990,Diadema,SP,-23.681347,-46.62052
244,83760,Lapa,PR,-25.76709,-49.716777
245,15750,Santa Albertina,SP,-20.0323485,-50.7278392
246,54335,Jaboatão dos Guararapes,PE,-8.1752476,-34.9468716
247,44340,Muritiba,BA,-12.624266,-38.9885844
248,55120,Riacho das Almas,PE,-8.1356327,-35.8566421
249,45029,Vitória da Conquista,BA,-14.8567487,-40.8414804
250,39563,Santa Cruz de Salinas,MG,-16.0972405,-41.7474332
251,16201,Birigüi,SP,-21.2908491,-50.34144
252,13042,Campinas,SP,-22.90556,-47.06083
253,35476,Piedade dos Gerais,MG,-20.471111,-44.226945
254,56140,Serrita,PE,-7.9476953,-39.2957383
255,13509,Rio Claro,SP,-22.4100108,-47.5603933
256,08673,Suzano,SP,-23.5427842,-46.3108391
257,69860,Pauini,AM,-7.7122214,-66.9998441
258,11075,Santos,SP,-23.960833,-46.333889
259,13147,Paulínia,SP,-22.7630391,-47.1532213
260,11677,Caraguatatuba,SP,-23.62028,-45.41306
261,61903,Maracanaú,CE,-3.8779438,-38.6247697
262,65980,Carolina,MA,35.90503535,-79.04775326525107
263,45280,Iguaí,BA,-14.752754,-40.089417
264,69090,Manaus,AM,-3.1316333,-59.9825041
265,11095,Santos,SP,-23.960833,-46.333889
266,64071,Teresina,PI,-5.0896403,-42.809588
267,41247,Salvador,BA,-12.9822499,-38.4812772
268,42820,Camaçari,BA,-12.6998188,-38.3260762
269,26165,Belford Roxo,RJ,-22.7667284,-43.4033603
270,62130,Meruoca,CE,-3.5390209,-40.4546107
271,70862,Brasília,DF,-15.7934036,-47.8823172
272,26082,Nova Iguaçu,RJ,-22.7592175,-43.4508728
273,96085,Pelotas,RS,-31.7699736,-52.3410161
274,64570,Isaías Coelho,PI,-7.7359201,-41.6765311
275,65283,Maranhãozinho,MA,-2.2429316,-45.8588977
276,08747,Mogi das Cruzes,SP,-23.5234284,-46.1926671
277,72747,Brasília,DF,-15.7934036,-47.8823172
278,22790,Rio de Janeiro,RJ,-22.9110137,-43.2093727
279,16016,Araçatuba,SP,-21.207992,-50.4390225
280,69960,Feijó,AC,-8.1648652,-70.3539579
281,08660,Suzano,SP,-23.5427842,-46.3108391
282,77465,Figueirópolis,TO,-12.1347916,-49.1737141
